año,alcaldia,poblacion,tasa_crecimiento
2015,Álvaro Obregón,749982,0.565055084154853
2016,Álvaro Obregón,753643,0.4881450488145145
2017,Álvaro Obregón,756571,0.3885128635175983
2018,Álvaro Obregón,758584,0.2660688818366008
2019,Álvaro Obregón,759499,0.1206194699598262
2020,Álvaro Obregón,759137,-0.04766299889795711
2021,Álvaro Obregón,757313,-0.24027283612839678
2022,Álvaro Obregón,753848,-0.457538692720183
2023,Álvaro Obregón,748559,-0.7016003226114509
2024,Álvaro Obregón,741264,-0.9745390810877996
